target_station_id,nearby_station_id_1,nearby_station_id_2,date,hour,period,pickup,dropoff,"is_empty_(0, 0, 0)","is_empty_(0, 0, 1)","is_empty_(0, 1, 0)","is_empty_(0, 1, 1)","is_empty_(1, 0, 0)","is_empty_(1, 0, 1)","is_empty_(1, 1, 0)","is_empty_(1, 1, 1)","is_full_(0, 0, 0)","is_full_(0, 0, 1)","is_full_(0, 1, 0)","is_full_(0, 1, 1)","is_full_(1, 0, 0)","is_full_(1, 0, 1)","is_full_(1, 1, 0)","is_full_(1, 1, 1)"
519,517,3235,2017-03-13,5,1,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,5,2,4,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,6,1,6,4,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,6,2,11,5,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,7,1,10,8,13,0,17,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,7,2,12,11,3,9,8,4,6,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,8,1,14,15,12,3,0,5,10,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,8,2,23,23,15,12,3,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,9,1,15,18,27,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,9,2,15,16,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,10,1,6,8,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,10,2,6,8,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,11,1,6,2,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,11,2,5,3,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,12,1,2,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,12,2,1,3,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,13,1,7,6,6,3,21,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,13,2,8,7,0,0,27,0,3,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,14,1,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,14,2,4,5,16,0,14,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,15,1,3,10,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,15,2,8,12,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,16,1,9,11,19,0,11,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-13,16,2,16,16,16,0,9,5,0,0,0,0,30,0,0,0,0,0,0,0
